subject_id,problem_cat
53,subtraction-negative
53,addition-positive
53,subtraction-positive
131,subtraction-negative
131,addition-positive
131,subtraction-positive
123,subtraction-negative
123,addition-positive
123,subtraction-positive
88,subtraction-negative
88,addition-positive
88,subtraction-positive
142,subtraction-negative
142,addition-positive
142,subtraction-positive
121,subtraction-negative
121,addition-positive
121,subtraction-positive
67,subtraction-negative
67,addition-positive
67,subtraction-positive
79,subtraction-negative
79,addition-positive
79,subtraction-positive
90,subtraction-negative
90,addition-positive
90,subtraction-positive
129,subtraction-negative
129,addition-positive
129,subtraction-positive
137,subtraction-negative
137,addition-positive
137,subtraction-positive
125,subtraction-negative
125,addition-positive
125,subtraction-positive
63,subtraction-negative
63,addition-positive
63,subtraction-positive
73,subtraction-negative
73,addition-positive
73,subtraction-positive
57,subtraction-negative
57,addition-positive
57,subtraction-positive
111,subtraction-negative
111,addition-positive
111,subtraction-positive
139,subtraction-negative
139,addition-positive
139,subtraction-positive
114,subtraction-negative
114,addition-positive
114,subtraction-positive
118,subtraction-negative
118,addition-positive
118,subtraction-positive
85,subtraction-negative
85,addition-positive
85,subtraction-positive
130,subtraction-negative
130,addition-positive
130,subtraction-positive
141,subtraction-negative
141,addition-positive
141,subtraction-positive
122,subtraction-negative
122,addition-positive
122,subtraction-positive
68,subtraction-negative
68,addition-positive
68,subtraction-positive
64,subtraction-negative
64,addition-positive
64,subtraction-positive
87,subtraction-negative
87,addition-positive
87,subtraction-positive
116,subtraction-negative
116,addition-positive
116,subtraction-positive
108,subtraction-negative
108,addition-positive
108,subtraction-positive
62,subtraction-negative
62,addition-positive
62,subtraction-positive
136,subtraction-negative
136,addition-positive
136,subtraction-positive
124,subtraction-negative
124,addition-positive
124,subtraction-positive
112,subtraction-negative
112,addition-positive
112,subtraction-positive
102,subtraction-negative
102,addition-positive
102,subtraction-positive
60,subtraction-negative
60,addition-positive
60,subtraction-positive
72,subtraction-negative
72,addition-positive
72,subtraction-positive
